Animal,Day,Session,Cricket,On,Approach Start,Capture,Consumption,Score,Notes,Time2Capture,Latency,Attack Duration,FPS
PV05,1,1,1,6699,7460,11479,12580,,total = 40631,239,38.05,200.95,20
,1,1,2,14500,14675,15699,16788,,,59.95,8.75,51.2,
,1,1,3,18176,18296,18839,19388,,,33.15,6,27.15,
,1,1,4,21016,21200,21224,22212,,,10.4,9.2,1.2,
,1,1,5,23802,23916,23958,25419,,,7.8,5.7,2.1,
,1,1,6,26927,27067,27099,27915,,,8.6,7,1.6,
,1,1,7,29552,29579,29922,30954,,,18.5,1.35,17.15,
,1,1,8,32632,32638,33512,34428,,,44,0.3,43.7,
,1,1,9,36616,36684,36874,37630,,,12.9,3.4,9.5,
,1,1,10,38872,38876,39210,39947,,,16.9,0.2,16.7,
,1,2,1,9695,9701,9919,10764,,total = 37591,11.2,0.3,10.9,
,1,2,2,11753,11884,11915,13141,,,8.1,6.55,1.55,
,1,2,3,13775,13801,13848,15420,,,3.65,1.3,2.35,
,1,2,4,17928,17975,17990,18624,,,3.1,2.35,0.75,
,1,2,5,20345,20350,20459,21329,,,5.7,0.25,5.45,
,1,2,6,21872,22041,22068,23168,,,9.8,8.45,1.35,
,1,2,7,24219,24491,24507,25661,,,14.4,13.6,0.8,
,1,2,8,26360,26368,26397,27208,,,1.85,0.4,1.45,
,1,2,9,29395,29413,29865,31783,,,23.5,0.9,22.6,
,1,2,10,,,,,,,0,0,0,
,1,3,1,6293,6298,6341,9907,,total = 62126,2.4,0.25,2.15,
,1,3,2,11241,11445,12099,13984,,,42.9,10.2,32.7,
,1,3,3,15899,15930,16059,18945,,,8,1.55,6.45,
,1,3,4,19601,19605,19826,21647,,,11.25,0.2,11.05,
,1,3,5,24093,24320,24347,26157,,,12.7,11.35,1.35,
,1,3,6,26455,37061,37112,38706,,,532.85,530.3,2.55,
,1,3,7,40546,41083,41152,43404,,,30.3,26.85,3.45,
,1,3,8,45353,45458,45981,47418,,,31.4,5.25,26.15,
,1,3,9,51553,51704,52024,53924,,,23.55,7.55,16,
,1,3,10,56342,56346,59840,61850,,,174.9,0.2,174.7,
,2,4,1,,,,,,,0,0,0,
,2,4,2,,,,,,,0,0,0,
,2,4,3,,,,,,,0,0,0,
,2,4,4,,,,,,,0,0,0,
,2,4,5,,,,,,,0,0,0,
,2,4,6,,,,,,,0,0,0,
,2,4,7,,,,,,,0,0,0,
,2,4,8,,,,,,,0,0,0,
,2,4,9,,,,,,,0,0,0,
,2,4,10,,,,,,,0,0,0,
,2,5,1,,,,,,,0,0,0,
,2,5,2,,,,,,,0,0,0,
,2,5,3,,,,,,,0,0,0,
,2,5,4,,,,,,,0,0,0,
,2,5,5,,,,,,,0,0,0,
,2,5,6,,,,,,,0,0,0,
,2,5,7,,,,,,,0,0,0,
,2,5,8,,,,,,,0,0,0,
,2,5,9,,,,,,,0,0,0,
,2,5,10,,,,,,,0,0,0,
