Animal,Day,Session,Cricket,On,Approach Start,Capture,Consumption,Score,Notes,Time2Capture,Latency,Attack Duration,FPS
XP20,1,1,1,5708,6229,6835,7940,,total = 23119,56.35,26.05,30.3,20
,1,1,2,9263,9515,9612,10491,,,17.45,12.6,4.85,
,1,1,3,10951,10956,11040,11753,,,4.45,0.25,4.2,
,1,1,4,12319,12977,13029,13827,,,35.5,32.9,2.6,
,1,1,5,14414,14416,14431,15082,,,0.85,0.1,0.75,
,1,1,6,15405,15408,15664,16628,,,12.95,0.15,12.8,
,1,1,7,16893,17254,17375,18648,,,24.1,18.05,6.05,
,1,1,8,18779,18948,19268,19928,,,24.45,8.45,16,
,1,1,9,20523,20546,20614,21748,,,4.55,1.15,3.4,
,1,1,10,22086,22098,22301,23119,,,10.75,0.6,10.15,
,1,2,1,7115,7175,7427,8796,,total = 35356,15.6,3,12.6,
,1,2,2,10521,10528,10546,12226,,,1.25,0.35,0.9,
,1,2,3,14070,14092,14135,15048,,,3.25,1.1,2.15,
,1,2,4,16520,16788,16836,18163,,,15.8,13.4,2.4,
,1,2,5,19513,19592,19757,20591,,,12.2,3.95,8.25,
,1,2,6,23227,23283,23315,24323,,,4.4,2.8,1.6,
,1,2,7,26452,26682,26703,27682,,,12.55,11.5,1.05,
,1,2,8,27502,27747,27922,28243,,,21,12.25,8.75,
,1,2,9,30338,30399,30526,31908,,,9.4,3.05,6.35,
,1,2,10,32236,32283,32306,33611,,,3.5,2.35,1.15,
,1,3,1,8797,8803,8823,10332,,total = 34844,1.3,0.3,1,
,1,3,2,13110,13210,13457,14574,,,17.35,5,12.35,
,1,3,3,16570,16573,16611,17435,,,2.05,0.15,1.9,
,1,3,4,19119,19132,19163,20557,,,2.2,0.65,1.55,
,1,3,5,21484,21508,21528,22850,,,2.2,1.2,1,
,1,3,6,24053,24073,24087,25058,,,1.7,1,0.7,
,1,3,7,26111,26249,26335,27986,,,11.2,6.9,4.3,
,1,3,8,28279,28289,28311,30038,,,1.6,0.5,1.1,
,1,3,9,30781,30786,30980,31511,,,9.95,0.25,9.7,
,1,3,10,32936,32982,33062,34236,,,6.3,2.3,4,
,2,4,1,2289,2294,2391,2711,,total = 15333,5.1,0.25,4.85,
,2,4,2,3457,3459,3469,4357,,,0.6,0.1,0.5,
,2,4,3,4942,4944,4957,5810,,,0.75,0.1,0.65,
,2,4,4,6557,6560,6611,7252,,,2.7,0.15,2.55,
,2,4,5,7600,7601,7608,7970,,,0.4,0.05,0.35,
,2,4,6,8992,8994,9014,9471,,,1.1,0.1,1,
,2,4,7,10557,10647,10729,11571,,,8.6,4.5,4.1,
,2,4,8,11729,11742,11779,12497,,,2.5,0.65,1.85,
,2,4,9,13739,13740,13749,14356,,,0.5,0.05,0.45,
,2,4,10,14552,14692,14716,15149,,,,,,
,2,5,1,6542,6585,6893,7660,,total = 22250,17.55,2.15,15.4,
,2,5,2,8399,8400,8489,8884,,,4.5,0.05,4.45,
,2,5,3,9273,9376,9405,10089,,,6.6,5.15,1.45,
,2,5,4,11238,11281,11351,12069,,,5.65,2.15,3.5,
,2,5,5,14173,14179,14188,14926,,,0.75,0.3,0.45,
,2,5,6,15575,15629,15664,16719,,,4.45,2.7,1.75,
,2,5,7,17536,17538,17562,18204,,,1.3,0.1,1.2,
,2,5,8,18686,18689,18718,19266,,,1.6,0.15,1.45,
,2,5,9,19661,19662,19729,20728,,,3.4,0.05,3.35,
,2,5,10,21087,21092,21455,22039,,,18.4,0.25,18.15,
,,,,,,,,,,,,0,
