Animal,Day,Session,Cricket,On,Approach Start,Capture,Consumption,Score,Notes,Time2Capture,Latency,Attack Duration,FPS
XP21,1,1,1,6130,7013,9452,11487,,total = 48286,166.1,44.15,121.95,20
,1,1,2,13048,13050,16232,18040,,,159.2,0.1,159.1,
,1,1,3,18869,19052,20472,21798,,,80.15,9.15,71,
,1,1,4,22290,22678,22685,23695,,,19.75,19.4,0.35,
,1,1,5,24481,24561,24588,25651,,,5.35,4,1.35,
,1,1,6,26474,26536,29193,30023,,,135.95,3.1,132.85,
,1,1,7,31440,31909,31942,32968,,,25.1,23.45,1.65,
,1,1,8,34659,35217,,,,*removed at 40625,-1732.95,27.9,-1760.85,
,1,1,9,40823,40890,,,,*removed at 45284,-2041.15,3.35,-2044.5,
,1,1,10,45496,45681,,,,*never caught,-2274.8,9.25,-2284.05,
,1,2,1,6115,6258,6282,8106,,total = 39870,8.35,7.15,1.2,
,1,2,2,11171,11173,11244,12499,,,3.65,0.1,3.55,
,1,2,3,13106,13703,13814,15707,,,35.4,29.85,5.55,
,1,2,4,16870,16873,17601,18678,,,36.55,0.15,36.4,
,1,2,5,19405,19454,19486,20547,,,4.05,2.45,1.6,
,1,2,6,22042,22599,22643,23481,,,30.05,27.85,2.2,
,1,2,7,27183,27185,28156,29310,,,48.65,0.1,48.55,
,1,2,8,30532,30701,30882,31876,,,17.5,8.45,9.05,
,1,2,9,33151,33186,33241,35074,,,4.5,1.75,2.75,
,1,2,10,36586,36756,36862,38197,,,13.8,8.5,5.3,
,1,3,1,6127,6428,6534,7442,,total = 41976,20.35,15.05,5.3,
,1,3,2,7872,7919,8166,9055,,,14.7,2.35,12.35,
,1,3,3,12423,12505,12683,14202,,,13,4.1,8.9,
,1,3,4,15040,15321,15377,16295,,,16.85,14.05,2.8,
,1,3,5,18868,18895,18922,21487,,,2.7,1.35,1.35,
,1,3,6,22169,22172,22220,23053,,,2.55,0.15,2.4,
,1,3,7,24255,24278,24559,25634,,,15.2,1.15,14.05,
,1,3,8,27730,27759,27768,29728,,,1.9,1.45,0.45,
,1,3,9,33408,33432,34313,35429,,,45.25,1.2,44.05,
,1,3,10,36690,36934,36963,38295,,,13.65,12.2,1.45,
,2,4,1,6373,6376,6418,6861,,total = 31999,2.25,0.15,2.1,
,2,4,2,7688,7704,7739,8214,,,2.55,0.8,1.75,
,2,4,3,8934,8938,8953,9263,,,0.95,0.2,0.75,
,2,4,4,10459,10461,10499,10741,,,2,0.1,1.9,
,2,4,5,11324,11355,11423,11773,,,4.95,1.55,3.4,
,2,4,6,12743,12865,12893,13226,,,7.5,6.1,1.4,
,2,4,7,14406,14519,14540,15003,,,6.7,5.65,1.05,
,2,4,8,15464,15469,15479,16136,,,0.75,0.25,0.5,
,2,4,9,18041,18163,18194,18756,,,7.65,6.1,1.55,
,2,4,10,19627,19627,19635,19911,,,,,,
,2,5,1,5961,5964,5977,6575,,total = 23893,0.8,0.15,0.65,
,2,5,2,8484,8487,8554,9324,,,3.5,0.15,3.35,
,2,5,3,10285,10360,10397,10785,,,5.6,3.75,1.85,
,2,5,4,11842,11862,12006,12424,,,8.2,1,7.2,
,2,5,5,14423,14424,14435,14964,,,0.6,0.05,0.55,
,2,5,6,16586,16619,16648,17375,,,3.1,1.65,1.45,
,2,5,7,17907,17908,17924,18547,,,0.85,0.05,0.8,
,2,5,8,18849,18891,19152,19677,,,15.15,2.1,13.05,
,2,5,9,21706,21708,21732,22615,,,1.3,0.1,1.2,
,2,5,10,22847,22848,22972,23265,,,6.25,0.05,6.2,
,,,,,,,,,,,,0,
