Animal,Day,Session,Cricket,On,Approach Start,Capture,Consumption,Score,Notes,Time2Capture,Latency,Attack Duration,FPS
XP02,1,1,1,6957,9175,9188,10896,,50554,111.55,110.9,0.65,20
,1,1,2,11989,13292,14746,16314,,,137.85,65.15,72.7,
,1,1,3,16845,17191,17238,19903,,,19.65,17.3,2.35,
,1,1,4,21614,22059,22146,22890,,,26.6,22.25,4.35,
,1,1,5,25951,26123,26204,28640,,,12.65,8.6,4.05,
,1,1,6,30618,30691,30869,33133,,,12.55,3.65,8.9,
,1,1,7,35959,35990,36033,37301,,,3.7,1.55,2.15,
,1,1,8,38002,38049,38940,40023,,,46.9,2.35,44.55,
,1,1,9,41405,41411,41803,43874,,,19.9,0.3,19.6,
,1,1,10,47430,47515,48148,49180,,,35.9,4.25,31.65,
,1,2,1,7589,7591,7611,9145,,30622,1.1,0.1,1,
,1,2,2,9897,9996,10845,13014,,,47.4,4.95,42.45,
,1,2,3,13292,13549,13569,14275,,,13.85,12.85,1,
,1,2,4,15402,15668,15825,16988,,,21.15,13.3,7.85,
,1,2,5,17145,17171,17204,18590,,,2.95,1.3,1.65,
,1,2,6,18941,18947,19006,21512,,,3.25,0.3,2.95,
,1,2,7,22372,22440,22471,23555,,,4.95,3.4,1.55,
,1,2,8,24788,24858,24884,25550,,,4.8,3.5,1.3,
,1,2,9,26030,26044,26145,28130,,,5.75,0.7,5.05,
,1,2,10,32326,32334,32350,33453,,,1.2,0.4,0.8,
,1,3,1,6384,6390,6430,7533,,37413,2.3,0.3,2,
,1,3,2,9358,9361,9409,10202,,,2.55,0.15,2.4,
,1,3,3,13215,13238,13291,14400,,,3.8,1.15,2.65,
,1,3,4,16302,16354,16489,17405,,,9.35,2.6,6.75,
,1,3,5,19179,19184,19301,21062,,,6.1,0.25,5.85,
,1,3,6,24195,24309,24913,25650,,,35.9,5.7,30.2,
,1,3,7,26358,26367,26420,23283,,,3.1,0.45,2.65,
,1,3,8,30208,30308,30417,32035,,,10.45,5,5.45,
,1,3,9,32421,32424,32460,34950,,,1.95,0.15,1.8,
,1,3,10,34974,35222,35502,35633,,,26.4,12.4,14,
,2,4,1,6208,6729,6815,7990,,32321,30.35,26.05,4.3,
,2,4,2,10675,10677,11327,12119,,,32.6,0.1,32.5,
,2,4,3,13609,13624,13649,14219,,,2,0.75,1.25,
,2,4,4,17324,17382,17410,17940,,,4.3,2.9,1.4,
,2,4,5,18374,19610,19753,20300,,,2.3,0.65,1.65,
,2,4,6,20574,20587,20620,21620,,,13.95,12,1.95,
,2,4,7,22290,22530,22569,23770,,,2.45,0.35,2.1,
,2,4,8,24357,24364,24406,25235,,,10.55,3.95,6.6,
,2,4,9,26981,27060,27192,27799,,,10.2,0.2,10,
,2,4,10,30846,30850,31050,31385,,,54.25,34.7,19.55,
,2,5,1,4990,5684,6075,6722,,23753,54.25,34.7,19.55,
,2,5,2,7077,7189,7230,7710,,,7.65,5.6,2.05,
,2,5,3,7955,7965,7998,8690,,,2.15,0.5,1.65,
,2,5,4,10492,10561,10669,11088,,,8.85,3.45,5.4,
,2,5,5,12302,12305,12322,12802,,,1,0.15,0.85,
,2,5,6,13625,13642,13748,14281,,,6.15,0.85,5.3,
,2,5,7,15508,15512,15526,16082,,,0.9,0.2,0.7,
,2,5,8,18088,18169,18185,19000,,,4.85,4.05,0.8,
,2,5,9,19946,19952,20149,20748,,,10.15,0.3,9.85,
,2,5,10,22030,22249,22266,23253,,,,,,
